name,implementation,time
2mm,noarr,20.035166
2mm,baseline,20.092673
2mm,noarr,20.056616
2mm,baseline,20.050866
2mm,noarr,20.056653
2mm,baseline,20.086304
2mm,noarr,20.055638
2mm,baseline,20.042903
2mm,noarr,20.104424
2mm,baseline,20.064992
2mm,noarr,19.928210
2mm,baseline,20.070688
2mm,noarr,20.010091
2mm,baseline,20.095153
2mm,noarr,20.122031
2mm,baseline,20.081521
2mm,noarr,20.052174
2mm,baseline,20.054165
2mm,noarr,20.055100
2mm,baseline,20.094200
3mm,noarr,31.709865
3mm,baseline,31.874588
3mm,noarr,31.706578
3mm,baseline,31.934670
3mm,noarr,31.797582
3mm,baseline,31.948724
3mm,noarr,31.724386
3mm,baseline,31.918430
3mm,noarr,31.712983
3mm,baseline,31.896495
3mm,noarr,31.675935
3mm,baseline,31.951517
3mm,noarr,31.748547
3mm,baseline,31.849269
3mm,noarr,31.750313
3mm,baseline,31.889927
3mm,noarr,31.763596
3mm,baseline,31.885871
3mm,noarr,31.702069
3mm,baseline,31.990160
adi,noarr,105.715191
adi,baseline,94.304052
adi,noarr,104.457249
adi,baseline,94.416950
adi,noarr,104.303019
adi,baseline,94.361301
adi,noarr,103.854292
adi,baseline,94.495125
adi,noarr,104.195977
adi,baseline,94.264454
adi,noarr,104.291520
adi,baseline,94.388283
adi,noarr,102.174270
adi,baseline,94.442861
adi,noarr,104.488135
adi,baseline,94.460081
adi,noarr,103.631803
adi,baseline,94.455557
adi,noarr,104.244569
adi,baseline,94.431205
atax,noarr,0.006438
atax,baseline,0.006501
atax,noarr,0.006579
atax,baseline,0.006500
atax,noarr,0.006440
atax,baseline,0.006500
atax,noarr,0.006553
atax,baseline,0.006479
atax,noarr,0.006461
atax,baseline,0.006504
atax,noarr,0.006458
atax,baseline,0.006485
atax,noarr,0.006455
atax,baseline,0.006499
atax,noarr,0.006467
atax,baseline,0.006476
atax,noarr,0.006555
atax,baseline,0.006501
atax,noarr,0.006440
atax,baseline,0.006458
bicg,noarr,0.012845
bicg,baseline,0.012859
bicg,noarr,0.012843
