name,implementation,time
2mm,noarr,0.000305
2mm,baseline,0.000231
2mm,noarr,0.000245
2mm,baseline,0.000246
2mm,noarr,0.000247
2mm,baseline,0.000246
2mm,noarr,0.000245
2mm,baseline,0.000246
2mm,noarr,0.000244
2mm,baseline,0.000231
2mm,noarr,0.000245
2mm,baseline,0.000230
2mm,noarr,0.000244
2mm,baseline,0.000230
2mm,noarr,0.000244
2mm,baseline,0.000238
2mm,noarr,0.000289
2mm,baseline,0.000242
2mm,noarr,0.000246
2mm,baseline,0.000232
3mm,noarr,0.000464
3mm,baseline,0.000502
3mm,noarr,0.000465
3mm,baseline,0.000442
3mm,noarr,0.000451
3mm,baseline,0.000422
3mm,noarr,0.000451
3mm,baseline,0.000439
3mm,noarr,0.000447
3mm,baseline,0.000422
3mm,noarr,0.000466
3mm,baseline,0.000422
3mm,noarr,0.000450
3mm,baseline,0.000422
3mm,noarr,0.000447
3mm,baseline,0.000447
3mm,noarr,0.000449
3mm,baseline,0.000423
3mm,noarr,0.000453
3mm,baseline,0.000442
adi,noarr,0.002666
adi,baseline,0.003390
adi,noarr,0.002609
adi,baseline,0.003355
adi,noarr,0.002625
adi,baseline,0.003373
adi,noarr,0.002690
adi,baseline,0.003404
adi,noarr,0.002624
adi,baseline,0.003337
adi,noarr,0.002625
adi,baseline,0.003357
adi,noarr,0.002680
adi,baseline,0.003370
adi,noarr,0.002656
adi,baseline,0.003337
adi,noarr,0.002676
adi,baseline,0.003341
adi,noarr,0.002692
adi,baseline,0.003372
atax,noarr,0.000016
atax,baseline,0.000015
atax,noarr,0.000016
atax,baseline,0.000016
atax,noarr,0.000016
atax,baseline,0.000016
atax,noarr,0.000016
atax,baseline,0.000016
atax,noarr,0.000016
atax,baseline,0.000037
atax,noarr,0.000029
atax,baseline,0.000016
atax,noarr,0.000016
atax,baseline,0.000016
atax,noarr,0.000016
atax,baseline,0.000016
atax,noarr,0.000016
atax,baseline,0.000016
atax,noarr,0.000016
atax,baseline,0.000016
bicg,noarr,0.000044
bicg,baseline,0.000043
bicg,noarr,0.000044
bicg,baseline,0.000059
bicg,noarr,0.000044
bicg,baseline,0.000044
bicg,noarr,0.000061
bicg,baseline,0.000060
bicg,noarr,0.000044
bicg,baseline,0.000044
bicg,noarr,0.000044
bicg,baseline,0.000044
bicg,noarr,0.000045
bicg,baseline,0.000044
bicg,noarr,0.000044
bicg,baseline,0.000044
bicg,noarr,0.000044
bicg,baseline,0.000049
bicg,noarr,0.000044
bicg,baseline,0.000045
cholesky,noarr,0.000219
cholesky,baseline,0.000275
cholesky,noarr,0.000298
cholesky,baseline,0.000218
cholesky,noarr,0.000314
cholesky,baseline,0.000218
cholesky,noarr,0.000317
cholesky,baseline,0.000218
cholesky,noarr,0.000316
cholesky,baseline,0.000232
cholesky,noarr,0.000312
cholesky,baseline,0.000218
